Метод,N,Матема. Ож,Дисперсия,СКО
Мультипликативный конгруэнтный генератор,1000,0.5009980313800614,0.08320168129792004,0.2884470164482899
Генератор Фибоначчи с запаздыванием,1000,0.49134285552189294,0.08413221119097801,0.2900555312194167
Вихрь Мерсенна,1000,0.49883105317333026,0.08470805325933001,0.29104647955151425
Мультипликативный конгруэнтный генератор,5000,0.5037034167966463,0.08327261886852234,0.28856995489572773
Генератор Фибоначчи с запаздыванием,5000,0.4991488085427207,0.08329712424655589,0.28861241180267333
Вихрь Мерсенна,5000,0.49692897081838183,0.0829227081911848,0.287963032681601
Мультипликативный конгруэнтный генератор,10000,0.5027264128375453,0.0831355760672153,0.2883324055100559
Генератор Фибоначчи с запаздыванием,10000,0.4979013566351293,0.08220422454752646,0.28671279104275493
Вихрь Мерсенна,10000,0.49977391051301484,0.08323991715889353,0.2885132876643527
